year,gdp_us,gdp_france,gap_us_minus_france
1920,10152.9270,5144.0000,5008.9270
1921,9674.8810,4901.0000,4773.8810
1922,10009.7150,5754.0000,4255.7150
1923,11071.2430,5984.0000,5087.2430
1924,11126.7130,6661.0000,4465.7130
1925,11149.7720,6641.0000,4508.7720
1926,11647.7680,6773.0000,4874.7680
1927,11532.3970,6621.0000,4911.3970
1928,11451.0690,7063.0000,4388.0690
1929,11954.2350,7508.0000,4446.2350
1930,10694.9820,7224.0000,3470.9820
1931,9930.9640,6751.0000,3179.9640
1932,8380.5040,6311.0000,2069.5040
1933,8048.2246,6757.0000,1291.2246
1934,8667.0920,6682.0000,1985.0920
1935,9680.8390,6513.0000,3167.8390
1936,10568.0130,6765.0000,3803.0130
1937,11295.0990,7152.0000,4143.0990
1938,10526.1340,7119.0000,3407.1340
1939,11171.4480,7640.0000,3531.4480
1940,12005.0950,6443.0000,5562.0950
1941,13553.4010,5274.0000,8279.4010
1942,14869.8610,4752.0000,10117.8610
1943,16050.2180,4559.0000,11491.2180
1944,16999.3280,3861.0000,13138.3280
1945,16477.5530,4101.0000,12376.5530
1946,14822.4670,6145.0000,8677.4670
1947,14311.5470,6596.0000,7715.5470
1948,14734.2320,7002.0000,7732.2320
1949,14196.6720,7884.0000,6312.6720
1950,15240.0000,8266.0000,6974.0000
1951,16125.0000,8705.0000,7420.0000
1952,16444.0000,8869.0000,7575.0000
1953,16917.0000,9060.0000,7857.0000
1954,16512.0000,9428.0000,7084.0000
1955,17370.0000,9881.0000,7489.0000
1956,17397.0000,10278.0000,7119.0000
1957,17406.0000,10779.0000,6627.0000
1958,16946.0000,10927.0000,6019.0000
1959,17900.0000,11124.0000,6776.0000
1960,18057.0000,11792.0000,6265.0000
1961,18175.0000,12302.0000,5873.0000
1962,18976.0000,12859.0000,6117.0000
1963,19514.0000,13330.0000,6184.0000
1964,20360.0000,14057.0000,6303.0000
1965,21390.0000,14609.0000,6781.0000
1966,22529.0000,15213.0000,7316.0000
1967,22842.0000,15792.0000,7050.0000
1968,23691.0000,16365.0000,7326.0000
1969,24195.0000,17352.0000,6843.0000
1970,23958.0000,18187.0000,5771.0000
1971,24394.0000,18881.0000,5513.0000
1972,25414.0000,19549.0000,5865.0000
1973,26602.0000,20441.0000,6161.0000
1974,26286.0000,20902.0000,5384.0000
1975,25956.0000,20653.0000,5303.0000
1976,27058.0000,21465.0000,5593.0000
1977,28001.0000,22177.0000,5824.0000
1978,29286.0000,22698.0000,6588.0000
1979,29949.0000,23326.0000,6623.0000
1980,29611.0000,23537.0000,6074.0000
1981,30056.0000,23655.0000,6401.0000
1982,29210.0000,24120.0000,5090.0000
1983,30158.0000,24300.0000,5858.0000
1984,32076.0000,24519.0000,7557.0000
1985,33023.0000,24755.0000,8268.0000
1986,33850.0000,25238.0000,8612.0000
1987,34730.0000,25756.0000,8974.0000
1988,35863.0000,26763.0000,9100.0000
1989,36756.0000,27576.0000,9180.0000
1990,36982.0000,28129.0000,8853.0000
1991,36463.9570,28294.2640,8169.6930
1992,37240.3000,28619.8050,8620.4950
1993,37761.5350,28336.1600,9425.3750
1994,38807.2800,28907.9770,9899.3030
1995,39390.6250,29418.8630,9971.7620
1996,40412.7500,29736.6450,10676.1050
1997,41722.6700,30341.8070,11380.8630
1998,43072.7580,31323.0780,11749.6800
1999,44575.8480,32284.6110,12291.2370
2000,45886.4700,33409.6800,12476.7900
2001,45878.0080,33920.0980,11957.9100
2002,46266.2970,34152.7730,12113.5240
2003,47157.9960,34292.0300,12865.9660
2004,48492.7200,35093.8240,13398.8960
2005,49654.7600,35495.4650,14159.2950
2006,50489.8600,36166.1600,14323.7000
2007,50901.7460,36845.6840,14056.0620
2008,50275.7460,36761.7930,13513.9530
2009,48452.9340,35534.9260,12918.0080
2010,49266.9140,36086.7270,13180.1870
2011,49675.0000,36691.0000,12984.0000
2012,50436.4340,36625.9260,13810.5080
2013,51010.7970,36647.2200,14363.5770
2014,51796.6200,36818.5400,14978.0800
2015,52808.1520,37077.8900,15730.2620
2016,53301.0160,37343.8400,15957.1760
2017,54152.3630,38037.3360,16115.0270
2018,55454.6680,38555.4650,16899.2030
2019,56469.2600,39084.6560,17384.6040
2020,54379.2070,35913.8200,18465.3870
