year,gini_us,gini_france,gap_us_minus_france
1915,0.55495346,0.5993602,-0.04440674
1916,0.5656792,0.6112223,-0.04554309999999995
1917,0.56917155,0.6094579,-0.040286350000000026
1918,0.56284606,0.5866033,-0.023757240000000013
1919,0.57556224,0.5951622,-0.019599959999999972
1920,0.5620709,0.58435255,-0.02228164999999993
1921,0.5860112,0.57600385,0.01000734999999997
1922,0.57658803,0.5887495,-0.012161470000000008
1923,0.55892557,0.6039206,-0.04499503000000005
1924,0.5760862,0.59075,-0.014663800000000005
1925,0.5884374,0.5866186,0.0018188000000000093
1926,0.5926395,0.5699417,0.02269779999999999
1927,0.587939,0.5785623,0.009376700000000016
1928,0.59574383,0.57644325,0.01930058000000001
1929,0.58717084,0.563674,0.023496839999999963
1930,0.58243304,0.54612654,0.03630649999999991
1931,0.58196574,0.54480106,0.03716468000000006
1932,0.5960318,0.56375545,0.032276349999999954
1933,0.59474987,0.5794946,0.015255270000000043
1934,0.60084105,0.58378017,0.017060879999999945
1935,0.58834946,0.59056824,-0.0022187799999999758
1936,0.5913637,0.56682634,0.024537360000000064
1937,0.58506185,0.5600644,0.024997449999999977
1938,0.58107394,0.551722,0.029351939999999965
1939,0.59187895,0.52462244,0.06725650999999999
1940,0.5925742,0.53368604,0.05888816000000008
1941,0.578206,0.52577585,0.05243014999999995
1942,0.52339643,0.49728242,0.02611401000000002
1943,0.4962111,0.45756972,0.03864138
1944,0.47355363,0.441378,0.03217563000000001
1945,0.50557476,0.43322232,0.07235244000000002
1946,0.50282466,0.4679833,0.03484136000000004
1947,0.5016554,0.47984758,0.021807819999999978
1948,0.50996476,0.46181527,0.04814949000000002
1949,0.5098161,0.4626883,0.0471278
1950,0.50916785,0.46051976,0.04864808999999998
1951,0.4956135,0.4719419,0.02367159999999996
1952,0.48307937,0.47817764,0.004901729999999993
1953,0.47495416,0.47531307,-0.00035890999999999007
1954,0.4831856,0.48229727,0.0008883299999999927
1955,0.4847328,0.48857018,-0.0038373800000000013
1956,0.47529912,0.48409042,-0.008791300000000002
1957,0.47544912,0.48880532,-0.013356199999999985
1958,0.48176795,0.48420402,-0.0024360700000000124
1959,0.48674417,0.4994202,-0.012676030000000005
1960,0.48431048,0.49861786,-0.014307380000000036
1961,0.48971912,0.5031035,-0.013384380000000029
1962,0.47367033,0.49595326,-0.022282930000000034
1963,0.480182,0.4995909,-0.019408900000000007
1964,0.4861041,0.5018457,-0.015741599999999967
1965,0.48033777,0.50779146,-0.027453689999999975
1966,0.4745509,0.49967146,-0.025120560000000014
1967,0.4547454,0.49839348,-0.04364807999999998
1968,0.4571628,0.4841036,-0.026940800000000042
1969,0.4439311,0.47421297,-0.03028186999999999
1970,0.44273445,0.46276712,-0.020032669999999975
1971,0.45200467,0.46562916,-0.013624489999999989
1972,0.4560067,0.46058375,-0.004577050000000027
1973,0.45397067,0.46953273,-0.015562059999999989
1974,0.44304934,0.46480235,-0.02175300999999996
1975,0.4509114,0.44409,0.006821400000000033
1976,0.44953054,0.4568991,-0.007368560000000024
1977,0.45374033,0.4380877,0.01565263
1978,0.45269233,0.42994228,0.022750049999999966
1979,0.4533262,0.42216256,0.031163639999999992
1980,0.45395714,0.4292876,0.02466953999999999
1981,0.46047384,0.42604434,0.0344295
1982,0.46771538,0.41842854,0.04928684
1983,0.48034024,0.42595148,0.05438875999999998
1984,0.48894638,0.4261654,0.06278097999999999
1985,0.49080503,0.43289232,0.05791270999999998
1986,0.49229324,0.4421167,0.05017654000000005
1987,0.5003226,0.4486717,0.051650899999999944
1988,0.51446635,0.45351362,0.060952729999999955
1989,0.5110872,0.45611453,0.054972669999999946
1990,0.51255625,0.45292696,0.05962929000000006
1991,0.51141477,0.4487535,0.06266126999999999
1992,0.5235627,0.44396672,0.07959598000000007
1993,0.5210872,0.448152,0.07293519999999998
1994,0.5200881,0.4501034,0.06998470000000007
1995,0.52835286,0.45137867,0.07697419000000005
1996,0.53559494,0.45002097,0.08557396999999994
1997,0.5418481,0.45197982,0.08986828000000008
1998,0.5433338,0.45354286,0.08979093999999999
1999,0.54667294,0.45059896,0.09607398
2000,0.5501338,0.4518881,0.09824569999999999
2001,0.543755,0.45393625,0.08981875
2002,0.5401895,0.44604743,0.09414206999999997
2003,0.54403335,0.44799134,0.09604200999999996
2004,0.5509866,0.4501561,0.10083049999999999
2005,0.5616493,0.44762507,0.11402423
2006,0.56784785,0.44482523,0.12302262000000003
2007,0.56449574,0.4499952,0.11450054000000004
2008,0.5623635,0.45025116,0.11211234000000003
2009,0.5569538,0.43301797,0.12393583000000008
2010,0.5675382,0.4385604,0.12897779999999998
2011,0.5730562,0.4447659,0.12829030000000002
2012,0.58399504,0.435148,0.14884704000000004
2013,0.5773292,0.4362867,0.14104249999999996
2014,0.5840611,0.4373642,0.14669690000000002
2015,0.5831387,0.45114803,0.13199067000000003
2016,0.5850735,0.45031407,0.13475943
2017,0.5804986,0.45206815,0.12843044999999997
2018,0.58364385,0.45759127,0.12605257999999997
2022,0.6267754,0.46119687,0.16557853
